,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,,
483,"1205 - 231 Fort York Blvd, Toronto (C4510449) | Zoocasa","551,000","499,900",1,1,550,1,,
485,"1805 - 44 St. Joseph St, Toronto (C4511432) | Zoocasa","464,900","464,900",1,1,550,0,,
488,"120 Cambridge Ave, Toronto (E4511185) | Zoocasa","1,060,000","899,000",3,1,N/A ,0,,
489,"706 - 383 Ellis Park Rd, Toronto (W4509669) | Zoocasa","650,440","599,998",1,1,650,1,,
490,"202 - 70 Distillery Lane, Toronto (C4510263) | Zoocasa","672,100","649,000",1,1,750,1,,
491,"608 - 32 Trolley Cres, Toronto (C4503132) | Zoocasa","856,000","799,000",2,2,950,1,,
492,"1205 - 150 Neptune Dr, Toronto (C4495468) | Zoocasa","490,000","499,900",3,2,1300,1,,
494,"505 - 10 Sunny Glen Way, Toronto (C4493506) | Zoocasa","357,000","372,000",2,1,750,1,,
495,"1310 - 17 Zorra St, Toronto (W4490669) | Zoocasa","419,000","429,900",1,1,250,1,,
501,"1002 - 265 Ridley Blvd, Toronto (C4498797) | Zoocasa","629,000","629,000",2,2,1100,1,,
502,"2910 - 105 The Queensway Ave, Toronto (W4506570) | Zoocasa","670,000","675,000",2,2,850,1,,
504,"88 Merrill Ave E, Toronto (E4502952) | Zoocasa","832,500","839,900",2,1,N/A ,1,,
507,"2910 - 105 The Queensway Ave, Toronto (W4506570) | Zoocasa","670,000","675,000",2,2,850,1,,
510,"2007 - 68 Abell St, Toronto (C4498185) | Zoocasa","590,000","605,000",2,2,650,0,,
512,"37 Gladsmore Cres, Toronto (W4514386) | Zoocasa","765,000","769,500",3,3,N/A ,3,,
513,"8 Harrow Dr, Toronto (W4494936) | Zoocasa","1,150,000","1,178,000",3,3,N/A ,4,,
514,"802 - 170 Sudbury St, Toronto (C4511233) | Zoocasa","425,000","389,000",1,1,250,0,,
520,"902 - 19 Grand Trunk Cres, Toronto (C4514913) | Zoocasa","830,000","849,000",2,4,950,1,,
522,"17 Battenberg Ave, Toronto (E4505587) | Zoocasa","833,000","849,000",2,1,N/A ,1,,
